app	device	os	channel	delta_time	is_attributed
15	1	19	245	2.02	0
3	1	27	280	0.53	0
45	1	4	419	1.6	1
15	1	19	245	1.01	0
9	1	13	489	2.54	1
3	1	19	424	2.39	0
26	1	37	121	0.36	1
35	1	14	21	1.74	1
3	1	11	280	2.56	0
3	1	19	115	0.86	0
8	2	22	259	2.87	0
3	1	3	135	1.87	0
236	1	19	213	0.89	1
9	1	20	466	1.9	0
19	0	38	213	2.98	1
5	1	35	113	2.42	1
12	1	10	245	1.64	0
35	1	19	274	2.77	1
26	1	102	266	1.54	0
45	1	30	419	2.56	1
10	1	27	113	2.9	1
9	1	19	445	1.89	1
9	1	3	442	0.92	0
19	21	24	213	1.75	1
3	1	13	280	2.6	0
35	1	19	21	1.48	1
25	1	19	259	2.99	0
17	1	19	128	2.98	0
35	1	19	21	2.57	1
9	1	41	244	1.69	0
15	1	19	245	1	0
25	1	13	259	0.93	0
29	1	19	213	1.84	1
3	1	13	480	1.71	0
15	1	3	245	0.66	0
3	1	13	153	0.67	0
29	1	35	343	1.65	1
15	1	19	153	1.64	0
3	1	1	409	2.24	0
10	1	37	113	0.65	1
1	2	19	125	2.87	0
9	1	19	334	2.52	0
9	1	19	334	2.55	1
13	1	19	469	2.18	0
11	1	28	173	2.72	0
3	1	10	280	1.75	0
66	1	19	101	0.84	1
29	1	19	213	0.94	1
9	1	19	334	1.67	0
2	1	19	435	0.92	0
45	1	19	419	0.37	1
19	239	24	333	0.67	1
45	1	7	419	2.77	1
19	40	24	282	0.66	1
12	1	13	328	0.72	0
19	0	24	213	1.84	1
35	1	10	21	2.62	1
19	0	0	213	1.97	1
9	1	13	134	0.52	1
18	1	13	107	1.93	0
10	1	47	113	2.91	1
19	16	0	213	2.83	1
29	1	19	213	2.89	1
12	1	13	265	0.63	0
2	1	1	219	1.19	1
35	1	13	21	0.39	1
72	1	1	101	3	1
3	1	1	280	2.64	0
19	0	24	347	2.68	1
12	1	15	265	1.59	0
62	1	19	21	2.47	1
9	1	19	127	2.89	0
14	2	32	489	1.82	0
9	2	18	334	2.3	0
10	1	61	113	0.52	1
6	1	19	459	1.69	0
9	1	19	127	2.81	0
18	1	22	107	0.46	0
15	1	18	111	2.03	0
19	0	24	213	0.55	1
10	1	25	113	0.35	1
3	1	13	409	2.57	0
15	1	8	3	2.93	0
72	1	13	101	1.92	1
35	1	1	21	1.43	1
19	0	38	347	1.77	1
19	88	24	213	2.99	1
10	1	43	113	2.6	1
18	1	18	107	1.46	1
3	1	19	137	2.32	0
18	3032	607	107	0.85	0
15	1	15	111	0.37	0
