ip,app,device,os,channel,app*device,app*os,time_diff,ip_freq,app_freq,device_freq,os_freq,channel_freq,is_attributed
7257,27,1,13,153,27,351,0.016956019,0.000263574,0.002635741,0.805218766,0.191881919,0.012387981,0
201610,35,1,13,274,35,455,0.017743056,0.000263574,0.078281497,0.805218766,0.191881919,0.038745387,1
105932,29,1,13,213,29,377,0.020104167,0.000263574,0.042435424,0.805218766,0.191881919,0.144175013,1
205466,9,1,19,134,9,171,0.014375,0.000263574,0.085134423,0.805218766,0.208750659,0.052714813,1
79614,2,1,1,477,2,2,0.024201389,0.000263574,0.069583553,0.805218766,0.012124407,0.021085925,0
7120,9,1,13,134,9,117,0.019363426,0.000527148,0.085134423,0.805218766,0.191881919,0.052714813,1
168172,64,1,13,459,64,832,0.015219907,0.000263574,0.010542963,0.805218766,0.191881919,0.014496574,1
132787,19,0,21,347,0,399,0.027824074,0.000263574,0.133632051,0.104902478,0.027938851,0.022140221,1
99960,1,1,19,178,1,19,0.018113426,0.000263574,0.01818661,0.805218766,0.208750659,0.03110174,0
113603,2,1,3,477,2,6,0.018831019,0.000263574,0.069583553,0.805218766,0.013705851,0.021085925,0
54748,2,1,15,258,2,30,0.014305556,0.000263574,0.069583553,0.805218766,0.020822351,0.0071165,0
44139,12,1,13,265,12,156,0.02380787,0.000263574,0.086188719,0.805218766,0.191881919,0.011597259,0
167948,19,7,21,213,133,399,0.022118056,0.000263574,0.133632051,0.001845018,0.027938851,0.144175013,1
79881,2,1,25,477,2,50,0.026701389,0.000790722,0.069583553,0.805218766,0.02398524,0.021085925,0
107727,12,1,16,245,12,192,0.0196875,0.000263574,0.086188719,0.805218766,0.013969425,0.051396943,0
167872,35,1,13,274,35,455,0.026134259,0.000263574,0.078281497,0.805218766,0.191881919,0.038745387,1
50512,8,1,22,145,8,176,0.026111111,0.000263574,0.042435424,0.805218766,0.043489721,0.038745387,1
105560,18,1,13,121,18,234,0.015763889,0.002899315,0.043226147,0.805218766,0.191881919,0.021085925,0
45745,12,1,13,265,12,156,0.020960648,0.001845018,0.086188719,0.805218766,0.191881919,0.011597259,0
115440,3,1,13,280,3,39,0.01650463,0.000263574,0.087770163,0.805218766,0.191881919,0.031365314,0
35862,2,1,19,477,2,38,0.013703704,0.000263574,0.069583553,0.805218766,0.208750659,0.021085925,0
95501,35,1,20,274,35,700,0.015162037,0.000263574,0.078281497,0.805218766,0.019240907,0.038745387,1
118349,12,1,13,140,12,156,0.015335648,0.000263574,0.086188719,0.805218766,0.191881919,0.013178703,0
152945,3,1,13,280,3,39,0.028958333,0.000263574,0.087770163,0.805218766,0.191881919,0.031365314,0
107136,15,1,25,265,15,375,0.028854167,0.000263574,0.063257775,0.805218766,0.02398524,0.011597259,0
59718,8,1,28,145,8,224,0.022395833,0.000263574,0.042435424,0.805218766,0.006062203,0.038745387,0
152890,19,0,29,213,0,551,0.017233796,0.000263574,0.133632051,0.104902478,0.019768055,0.144175013,1
70786,9,1,17,134,9,153,0.016597222,0.000263574,0.085134423,0.805218766,0.044544017,0.052714813,1
210709,50,0,24,213,0,1200,0.016493056,0.000263574,0.003162889,0.104902478,0.055350554,0.144175013,1
179440,9,1,19,232,9,171,0.025011574,0.000263574,0.085134423,0.805218766,0.208750659,0.004744333,1
201160,19,0,21,213,0,399,0.013344907,0.000263574,0.133632051,0.104902478,0.027938851,0.144175013,1
112870,15,1,13,245,15,195,0.02125,0.000263574,0.063257775,0.805218766,0.191881919,0.051396943,0
49878,12,1,8,245,12,96,0.017893519,0.000263574,0.086188719,0.805218766,0.023458092,0.051396943,0
183227,19,234,38,213,4446,722,0.02125,0.000263574,0.133632051,0.000527148,0.010542963,0.144175013,1
105560,19,0,50,347,0,950,0.028483796,0.002899315,0.133632051,0.104902478,0.004217185,0.022140221,1
6517,2,1,1,258,2,2,0.019247685,0.000263574,0.069583553,0.805218766,0.012124407,0.0071165,0
55088,3,1,19,424,3,57,0.019074074,0.000263574,0.087770163,0.805218766,0.208750659,0.003426463,0
15630,107,1,19,171,107,2033,0.018865741,0.000263574,0.002635741,0.805218766,0.208750659,0.003426463,1
137455,15,1,19,245,15,285,0.023333333,0.000263574,0.063257775,0.805218766,0.208750659,0.051396943,1
66476,35,1,13,274,35,455,0.016134259,0.000263574,0.078281497,0.805218766,0.191881919,0.038745387,1
190875,35,1,19,274,35,665,0.016111111,0.000263574,0.078281497,0.805218766,0.208750659,0.038745387,1
120663,150,1,19,110,150,2850,0.014710648,0.000263574,0.002372167,0.805218766,0.208750659,0.006325778,1
2364,8,1,17,145,8,136,0.025335648,0.000263574,0.042435424,0.805218766,0.044544017,0.038745387,0
205348,9,1,19,244,9,171,0.023587963,0.000263574,0.085134423,0.805218766,0.208750659,0.005798629,1
199047,19,0,29,213,0,551,0.02306713,0.000263574,0.133632051,0.104902478,0.019768055,0.144175013,1
206127,15,1,1,265,15,15,0.017997685,0.000527148,0.063257775,0.805218766,0.012124407,0.011597259,1
100275,19,0,0,213,0,0,0.023599537,0.002372167,0.133632051,0.104902478,0.035846073,0.144175013,1
173473,145,220,21,320,31900,3045,0.0209375,0.000263574,0.001845018,0.000790722,0.027938851,0.002372167,1
105215,8,1,18,145,8,144,0.028043981,0.000263574,0.042435424,0.805218766,0.033210332,0.038745387,0
87940,35,1,12,21,35,420,0.015173611,0.000263574,0.078281497,0.805218766,0.007643648,0.042962572,1
171402,3,1,17,280,3,51,0.017592593,0.000263574,0.087770163,0.805218766,0.044544017,0.031365314,0
80299,2,1,6,219,2,12,0.026539352,0.000263574,0.069583553,0.805218766,0.025566684,0.006852926,0
34663,11,1,16,319,11,176,0.01412037,0.000263574,0.011860833,0.805218766,0.013969425,0.003426463,0
130735,12,1,40,219,12,480,0.028993056,0.000263574,0.086188719,0.805218766,0.006325778,0.006852926,1
87816,8,1,10,140,8,80,0.013541667,0.000263574,0.042435424,0.805218766,0.021349499,0.013178703,1
120195,8,1,27,145,8,216,0.017233796,0.000263574,0.042435424,0.805218766,0.0071165,0.038745387,1
139582,35,1,19,21,35,665,0.020810185,0.000263574,0.078281497,0.805218766,0.208750659,0.042962572,1
177446,19,188,29,213,3572,551,0.02474537,0.000263574,0.133632051,0.000263574,0.019768055,0.144175013,1
160214,183,3032,607,347,554856,111081,0.020960648,0.000527148,0.000790722,0.003162889,0.0071165,0.022140221,0
1091,19,0,29,347,0,551,0.018009259,0.000263574,0.133632051,0.104902478,0.019768055,0.022140221,1
119758,19,210,24,213,3990,456,0.016157407,0.000790722,0.133632051,0.000263574,0.055350554,0.144175013,1
13397,3,1,19,137,3,57,0.015868056,0.000263574,0.087770163,0.805218766,0.208750659,0.006852926,0
25071,24,2,9,105,48,216,0.028101852,0.000263574,0.012651555,0.030311017,0.019504481,0.012387981,0
107393,35,1,13,21,35,455,0.023032407,0.000263574,0.078281497,0.805218766,0.191881919,0.042962572,1
38379,3,1,10,280,3,30,0.020601852,0.000527148,0.087770163,0.805218766,0.021349499,0.031365314,0
