,0,1,2,3,4,5
0,15.0,1.0,19.0,245.0,2.02,0.0
1,3.0,1.0,27.0,280.0,0.53,0.0
2,45.0,1.0,4.0,419.0,1.6,1.0
3,15.0,1.0,19.0,245.0,1.01,0.0
4,9.0,1.0,13.0,489.0,2.54,1.0
5,3.0,1.0,19.0,424.0,2.39,0.0
6,26.0,1.0,37.0,121.0,0.36,1.0
7,35.0,1.0,14.0,21.0,1.74,1.0
8,3.0,1.0,11.0,280.0,2.56,0.0
9,3.0,1.0,19.0,115.0,0.86,0.0
10,8.0,2.0,22.0,259.0,2.87,0.0
11,3.0,1.0,3.0,135.0,1.87,0.0
12,236.0,1.0,19.0,213.0,0.89,1.0
13,9.0,1.0,20.0,466.0,1.9,0.0
14,19.0,0.0,38.0,213.0,2.98,1.0
15,5.0,1.0,35.0,113.0,2.42,1.0
16,12.0,1.0,10.0,245.0,1.64,0.0
17,35.0,1.0,19.0,274.0,2.77,1.0
18,26.0,1.0,102.0,266.0,1.54,0.0
19,45.0,1.0,30.0,419.0,2.56,1.0
20,10.0,1.0,27.0,113.0,2.9,1.0
21,9.0,1.0,19.0,445.0,1.89,1.0
22,9.0,1.0,3.0,442.0,0.92,0.0
23,19.0,21.0,24.0,213.0,1.75,1.0
24,3.0,1.0,13.0,280.0,2.6,0.0
25,35.0,1.0,19.0,21.0,1.48,1.0
26,25.0,1.0,19.0,259.0,2.99,0.0
27,17.0,1.0,19.0,128.0,2.98,0.0
28,35.0,1.0,19.0,21.0,2.57,1.0
29,9.0,1.0,41.0,244.0,1.69,0.0
30,15.0,1.0,19.0,245.0,1.0,0.0
31,25.0,1.0,13.0,259.0,0.93,0.0
32,29.0,1.0,19.0,213.0,1.84,1.0
33,3.0,1.0,13.0,480.0,1.71,0.0
34,15.0,1.0,3.0,245.0,0.66,0.0
35,3.0,1.0,13.0,153.0,0.67,0.0
36,29.0,1.0,35.0,343.0,1.65,1.0
37,15.0,1.0,19.0,153.0,1.64,0.0
38,3.0,1.0,1.0,409.0,2.24,0.0
39,10.0,1.0,37.0,113.0,0.65,1.0
40,1.0,2.0,19.0,125.0,2.87,0.0
41,9.0,1.0,19.0,334.0,2.52,0.0
42,9.0,1.0,19.0,334.0,2.55,1.0
43,13.0,1.0,19.0,469.0,2.18,0.0
44,11.0,1.0,28.0,173.0,2.72,0.0
45,3.0,1.0,10.0,280.0,1.75,0.0
46,66.0,1.0,19.0,101.0,0.84,1.0
47,29.0,1.0,19.0,213.0,0.94,1.0
48,9.0,1.0,19.0,334.0,1.67,0.0
49,2.0,1.0,19.0,435.0,0.92,0.0
50,45.0,1.0,19.0,419.0,0.37,1.0
51,19.0,239.0,24.0,333.0,0.67,1.0
52,45.0,1.0,7.0,419.0,2.77,1.0
53,19.0,40.0,24.0,282.0,0.66,1.0
54,12.0,1.0,13.0,328.0,0.72,0.0
55,19.0,0.0,24.0,213.0,1.84,1.0
56,35.0,1.0,10.0,21.0,2.62,1.0
57,19.0,0.0,0.0,213.0,1.97,1.0
58,9.0,1.0,13.0,134.0,0.52,1.0
59,18.0,1.0,13.0,107.0,1.93,0.0
60,10.0,1.0,47.0,113.0,2.91,1.0
61,19.0,16.0,0.0,213.0,2.83,1.0
62,29.0,1.0,19.0,213.0,2.89,1.0
63,12.0,1.0,13.0,265.0,0.63,0.0
64,2.0,1.0,1.0,219.0,1.19,1.0
65,35.0,1.0,13.0,21.0,0.39,1.0
66,72.0,1.0,1.0,101.0,3.0,1.0
67,3.0,1.0,1.0,280.0,2.64,0.0
68,19.0,0.0,24.0,347.0,2.68,1.0
69,12.0,1.0,15.0,265.0,1.59,0.0
70,62.0,1.0,19.0,21.0,2.47,1.0
71,9.0,1.0,19.0,127.0,2.89,0.0
72,14.0,2.0,32.0,489.0,1.82,0.0
73,9.0,2.0,18.0,334.0,2.3,0.0
74,10.0,1.0,61.0,113.0,0.52,1.0
75,6.0,1.0,19.0,459.0,1.69,0.0
76,9.0,1.0,19.0,127.0,2.81,0.0
77,18.0,1.0,22.0,107.0,0.46,0.0
78,15.0,1.0,18.0,111.0,2.03,0.0
79,19.0,0.0,24.0,213.0,0.55,1.0
80,10.0,1.0,25.0,113.0,0.35,1.0
81,3.0,1.0,13.0,409.0,2.57,0.0
82,15.0,1.0,8.0,3.0,2.93,0.0
83,72.0,1.0,13.0,101.0,1.92,1.0
84,35.0,1.0,1.0,21.0,1.43,1.0
85,19.0,0.0,38.0,347.0,1.77,1.0
86,19.0,88.0,24.0,213.0,2.99,1.0
87,10.0,1.0,43.0,113.0,2.6,1.0
88,18.0,1.0,18.0,107.0,1.46,1.0
89,3.0,1.0,19.0,137.0,2.32,0.0
