ip,app,device,os,channel,click_time,attributed_time,app*device,app*os,,is_attributed
7257,27,1,13,153,2017-11-06 16:05:32,,27,351,,0
201610,35,1,13,274,2017-11-06 16:06:40,2017-11-07 06:45:28,35,455,,1
105932,29,1,13,213,2017-11-06 16:10:04,2017-11-06 17:15:01,29,377,,1
205466,9,1,19,134,2017-11-06 16:01:49,2017-11-07 00:22:00,9,171,,1
79614,2,1,1,477,2017-11-06 16:15:58,,2,2,,0
7120,9,1,13,134,2017-11-06 16:09:00,2017-11-06 17:17:29,9,117,,1
168172,64,1,13,459,2017-11-06 16:03:02,2017-11-06 16:21:03,64,832,,1
132787,19,0,21,347,2017-11-06 16:21:11,2017-11-07 11:47:00,0,399,,1
99960,1,1,19,178,2017-11-06 16:07:12,,1,19,,0
113603,2,1,3,477,2017-11-06 16:08:14,,2,6,,0
54748,2,1,15,258,2017-11-06 16:01:43,,2,30,,0
44139,12,1,13,265,2017-11-06 16:15:24,,12,156,,0
167948,19,7,21,213,2017-11-06 16:12:58,2017-11-07 15:15:50,133,399,,1
79881,2,1,25,477,2017-11-06 16:19:34,,2,50,,0
107727,12,1,16,245,2017-11-06 16:09:28,,12,192,,0
167872,35,1,13,274,2017-11-06 16:18:45,2017-11-07 00:52:54,35,455,,1
50512,8,1,22,145,2017-11-06 16:18:43,2017-11-06 16:33:14,8,176,,1
105560,18,1,13,121,2017-11-06 16:03:49,,18,234,,0
45745,12,1,13,265,2017-11-06 16:11:18,,12,156,,0
115440,3,1,13,280,2017-11-06 16:04:53,,3,39,,0
35862,2,1,19,477,2017-11-06 16:00:51,,2,38,,0
95501,35,1,20,274,2017-11-06 16:02:57,2017-11-06 23:08:09,35,700,,1
118349,12,1,13,140,2017-11-06 16:03:12,,12,156,,0
152945,3,1,13,280,2017-11-06 16:22:49,,3,39,,0
107136,15,1,25,265,2017-11-06 16:22:40,,15,375,,0
59718,8,1,28,145,2017-11-06 16:13:22,,8,224,,0
152890,19,0,29,213,2017-11-06 16:05:56,2017-11-06 16:06:51,0,551,,1
70786,9,1,17,134,2017-11-06 16:05:01,2017-11-07 08:11:43,9,153,,1
210709,50,0,24,213,2017-11-06 16:04:52,2017-11-07 09:46:13,0,1200,,1
179440,9,1,19,232,2017-11-06 16:17:08,2017-11-07 02:19:09,9,171,,1
201160,19,0,21,213,2017-11-06 16:00:20,2017-11-06 16:01:05,0,399,,1
112870,15,1,13,245,2017-11-06 16:11:43,,15,195,,0
49878,12,1,8,245,2017-11-06 16:06:53,,12,96,,0
183227,19,234,38,213,2017-11-06 16:11:43,2017-11-06 16:15:42,4446,722,,1
105560,19,0,50,347,2017-11-06 16:22:08,2017-11-06 16:24:40,0,950,,1
6517,2,1,1,258,2017-11-06 16:08:50,,2,2,,0
55088,3,1,19,424,2017-11-06 16:08:35,,3,57,,0
15630,107,1,19,171,2017-11-06 16:08:17,2017-11-07 09:51:41,107,2033,,1
137455,15,1,19,245,2017-11-06 16:14:43,2017-11-07 02:45:49,15,285,,1
66476,35,1,13,274,2017-11-06 16:04:21,2017-11-06 16:29:42,35,455,,1
190875,35,1,19,274,2017-11-06 16:04:19,2017-11-07 01:23:28,35,665,,1
120663,150,1,19,110,2017-11-06 16:02:18,2017-11-07 05:43:20,150,2850,,1
2364,8,1,17,145,2017-11-06 16:17:36,,8,136,,0
205348,9,1,19,244,2017-11-06 16:15:05,2017-11-06 21:36:20,9,171,,1
199047,19,0,29,213,2017-11-06 16:14:20,2017-11-06 16:19:21,0,551,,1
206127,15,1,1,265,2017-11-06 16:07:02,2017-11-06 16:07:42,15,15,,1
100275,19,0,0,213,2017-11-06 16:15:06,2017-11-06 16:16:25,0,0,,1
173473,145,220,21,320,2017-11-06 16:11:16,2017-11-06 16:12:04,31900,3045,,1
105215,8,1,18,145,2017-11-06 16:21:30,,8,144,,0
87940,35,1,12,21,2017-11-06 16:02:58,2017-11-07 11:04:56,35,420,,1
171402,3,1,17,280,2017-11-06 16:06:27,,3,51,,0
80299,2,1,6,219,2017-11-06 16:19:20,,2,12,,0
34663,11,1,16,319,2017-11-06 16:01:27,,11,176,,0
130735,12,1,40,219,2017-11-06 16:22:52,2017-11-06 16:23:35,12,480,,1
87816,8,1,10,140,2017-11-06 16:00:37,2017-11-07 09:17:26,8,80,,1
120195,8,1,27,145,2017-11-06 16:05:56,2017-11-07 06:01:45,8,216,,1
139582,35,1,19,21,2017-11-06 16:11:05,2017-11-06 20:46:33,35,665,,1
177446,19,188,29,213,2017-11-06 16:16:45,2017-11-06 16:17:23,3572,551,,1
160214,183,3032,607,347,2017-11-06 16:11:18,,554856,111081,,0
1091,19,0,29,347,2017-11-06 16:07:03,2017-11-06 18:26:11,0,551,,1
119758,19,210,24,213,2017-11-06 16:04:23,2017-11-07 05:29:45,3990,456,,1
13397,3,1,19,137,2017-11-06 16:03:58,,3,57,,0
25071,24,2,9,105,2017-11-06 16:21:35,,48,216,,0
107393,35,1,13,21,2017-11-06 16:14:17,2017-11-06 23:48:32,35,455,,1
38379,3,1,10,280,2017-11-06 16:10:47,,3,30,,0
203031,12,1,19,424,2017-11-06 16:08:08,,12,228,,0
196076,3,1,8,115,2017-11-06 16:02:59,,3,24,,0
142508,127,0,0,213,2017-11-06 16:04:00,2017-11-06 16:06:13,0,0,,1
154055,120,0,21,213,2017-11-06 16:03:20,2017-11-06 16:07:11,0,2520,,1
20015,21,1,37,128,2017-11-06 16:06:30,,21,777,,0
121505,20,2,14,259,2017-11-06 16:17:39,,40,280,,0
25614,2,1,13,205,2017-11-06 16:05:27,,2,26,,0
15474,15,1,36,245,2017-11-06 16:00:54,,15,540,,0
209742,172,1,20,414,2017-11-06 16:05:28,2017-11-06 16:06:16,172,3440,,1
122174,9,1,6,134,2017-11-06 16:09:18,,9,54,,0
142025,28,1,18,135,2017-11-06 16:05:06,,28,504,,0
150769,84,0,38,101,2017-11-06 16:05:44,2017-11-06 16:06:14,0,3192,,1
132777,29,1,10,213,2017-11-06 16:21:59,2017-11-06 16:36:35,29,290,,1
42470,11,1,19,325,2017-11-06 16:20:15,,11,209,,0
188328,9,1,6,215,2017-11-06 16:22:00,,9,54,,0
3210,12,1,17,328,2017-11-06 16:19:15,,12,204,,0
152120,155,1,19,213,2017-11-06 16:05:05,2017-11-06 16:08:32,155,2945,,1
122228,18,1,17,107,2017-11-06 16:11:40,,18,306,,0
133729,19,437,24,210,2017-11-06 16:22:07,2017-11-06 16:25:11,8303,456,,1
98207,18,2,13,121,2017-11-06 16:05:09,,36,234,,0
17706,12,1,15,245,2017-11-06 16:02:14,,12,180,,0
23610,26,1,37,121,2017-11-06 16:17:08,,26,962,,0
188159,3,1,17,466,2017-11-06 16:03:39,2017-11-07 11:33:01,3,51,,1
145286,19,211,29,213,2017-11-06 16:00:30,2017-11-07 06:02:00,4009,551,,1
76765,3,1,22,280,2017-11-06 16:07:19,,3,66,,0
149503,3,1,13,280,2017-11-06 16:05:15,,3,39,,0
99722,8,1,35,259,2017-11-06 16:05:09,,8,280,,0
118807,28,1,19,135,2017-11-06 16:16:02,,28,532,,0
99559,3,1,19,280,2017-11-06 16:12:16,,3,57,,0
116376,14,1,22,379,2017-11-06 16:14:29,,14,308,,0
37363,9,1,16,134,2017-11-06 16:18:55,,9,144,,0
7441,35,1,13,21,2017-11-06 16:14:49,2017-11-06 22:26:29,35,455,,1
165585,19,0,24,347,2017-11-06 16:02:24,2017-11-07 05:52:22,0,456,,1
69747,35,1,18,21,2017-11-06 16:11:16,2017-11-06 23:20:33,35,630,,1
211984,3,1,18,130,2017-11-06 16:13:20,,3,54,,0
81356,19,0,24,213,2017-11-06 16:07:02,2017-11-06 21:42:56,0,456,,1
110628,2,1,20,237,2017-11-06 16:18:48,,2,40,,0
92681,3,1,17,280,2017-11-06 16:12:49,,3,51,,0
80048,8,1,13,145,2017-11-06 16:16:24,,8,104,,0
3442,35,1,13,274,2017-11-06 16:01:00,2017-11-06 23:18:35,35,455,,1
75588,8,1,18,145,2017-11-06 16:01:18,,8,144,,0
69489,11,1,19,487,2017-11-06 16:05:37,,11,209,,0
17149,13,1,53,477,2017-11-06 16:22:47,,13,689,,0
105475,3,1,19,409,2017-11-06 16:00:50,,3,57,,0
97684,20,1,22,259,2017-11-06 16:15:51,2017-11-06 17:22:59,20,440,,1
180875,2,1,1,469,2017-11-06 16:18:28,2017-11-06 16:18:38,2,2,,1
73487,8,1,13,145,2017-11-06 16:04:24,,8,104,,0
22792,107,1,19,171,2017-11-06 16:06:21,2017-11-07 08:37:33,107,2033,,1
187947,15,1,17,245,2017-11-06 16:00:12,,15,255,,0
121909,20,1,19,259,2017-11-06 16:20:30,2017-11-06 22:46:13,20,380,,1
175448,3,1,6,379,2017-11-06 16:05:04,2017-11-06 16:05:39,3,18,,1
88228,2,1,16,364,2017-11-06 16:09:54,,2,32,,0
130824,183,3032,607,347,2017-11-06 16:22:03,,554856,111081,,0
129195,150,1,19,110,2017-11-06 16:05:48,2017-11-07 05:44:54,150,2850,,1
52024,150,1,13,110,2017-11-06 16:16:36,2017-11-07 04:33:01,150,1950,,1
132948,29,1,19,213,2017-11-06 16:03:35,2017-11-06 16:11:50,29,551,,1
48798,18,1,13,121,2017-11-06 16:14:25,,18,234,,0
155137,3,1,19,113,2017-11-06 16:09:22,2017-11-06 17:42:47,3,57,,1
192413,3,1,19,280,2017-11-06 16:05:25,2017-11-07 10:36:21,3,57,,1
110986,35,1,18,21,2017-11-06 16:17:36,2017-11-07 06:13:22,35,630,,1
78992,3,1,15,379,2017-11-06 16:14:15,,3,45,,0
26589,2,1,12,364,2017-11-06 16:15:58,,2,24,,0
44663,29,1,22,343,2017-11-06 16:21:57,2017-11-06 19:49:36,29,638,,1
48581,9,1,17,134,2017-11-06 16:03:47,,9,153,,0
210488,8,1,8,145,2017-11-06 16:10:15,,8,64,,0
146363,19,73,24,213,2017-11-06 16:13:28,2017-11-06 16:16:26,1387,456,,1
96777,8,1,6,145,2017-11-06 16:08:37,,8,48,,0
79857,10,1,3,377,2017-11-06 16:08:38,2017-11-06 16:51:23,10,30,,1
151214,45,1,4,213,2017-11-06 16:06:32,2017-11-06 16:13:23,45,180,,1
167591,35,1,18,274,2017-11-06 16:19:15,2017-11-07 12:42:55,35,630,,1
98454,9,1,19,232,2017-11-06 16:11:20,,9,171,,0
51901,9,1,9,215,2017-11-06 16:02:07,,9,81,,0
201069,2,1,12,122,2017-11-06 16:00:26,,2,24,,0
64345,19,46,0,213,2017-11-06 16:15:23,2017-11-06 16:16:53,874,0,,1
97744,15,1,13,245,2017-11-06 16:19:30,,15,195,,0
49404,35,1,41,274,2017-11-06 16:08:51,2017-11-06 17:34:01,35,1435,,1
5348,23,1,17,153,2017-11-06 16:18:57,,23,391,,0
3376,12,1,15,178,2017-11-06 16:01:24,,12,180,,0
107806,3,1,48,424,2017-11-06 16:18:45,,3,144,,0
128016,23,1,98,153,2017-11-06 16:17:52,,23,2254,,0
52052,8,1,8,145,2017-11-06 16:08:43,2017-11-07 03:31:27,8,64,,1
2600,1,1,13,134,2017-11-06 16:00:13,,1,13,,0
123416,15,1,13,315,2017-11-06 16:18:29,,15,195,,0
30173,8,1,17,145,2017-11-06 16:02:20,2017-11-07 02:45:41,8,136,,1
148381,3,1,13,489,2017-11-06 16:12:48,,3,39,,0
5348,12,1,17,178,2017-11-06 16:20:22,,12,204,,0
62701,3,1,18,280,2017-11-06 16:06:01,2017-11-07 08:40:42,3,54,,1
85085,19,0,0,213,2017-11-06 16:16:18,2017-11-06 18:50:54,0,0,,1
100901,20,1,13,259,2017-11-06 16:09:27,2017-11-07 09:52:38,20,260,,1
26564,9,2,9,244,2017-11-06 16:22:33,,18,81,,0
202187,29,1,6,213,2017-11-06 16:12:49,2017-11-06 16:15:08,29,174,,1
152346,2,1,22,212,2017-11-06 16:11:46,,2,44,,0
181033,12,1,1,178,2017-11-06 16:11:06,2017-11-06 16:17:59,12,12,,1
60085,35,1,19,21,2017-11-06 16:23:00,2017-11-07 10:01:54,35,665,,1
199243,29,1,19,333,2017-11-06 16:17:40,2017-11-06 16:22:08,29,551,,1
86349,19,0,24,210,2017-11-06 16:08:21,2017-11-07 01:03:42,0,456,,1
73487,12,1,13,178,2017-11-06 16:18:07,,12,156,,0
83535,8,1,3,145,2017-11-06 16:01:15,2017-11-07 07:51:25,8,24,,1
160519,24,1,13,105,2017-11-06 16:03:38,,24,312,,0
149846,125,0,607,341,2017-11-06 16:20:02,2017-11-06 16:28:56,0,75875,,1
18703,21,1,47,128,2017-11-06 16:03:58,,21,987,,0
8401,24,2,17,105,2017-11-06 16:07:56,,48,408,,0
100393,16,1,19,213,2017-11-06 16:11:34,2017-11-07 11:59:02,16,304,,1
188335,3,2,13,280,2017-11-06 16:11:02,2017-11-07 03:04:18,6,39,,1
44067,3,1,19,135,2017-11-06 16:10:32,,3,57,,0
177874,35,1,19,21,2017-11-06 16:14:26,2017-11-06 23:32:34,35,665,,1
81753,9,1,37,215,2017-11-06 16:18:53,,9,333,,0
11675,9,1,16,258,2017-11-06 16:04:33,,9,144,,0
91066,11,1,30,122,2017-11-06 16:18:35,,11,330,,0
67746,64,1,15,459,2017-11-06 16:13:57,,64,960,,0
135909,19,0,24,213,2017-11-06 16:09:44,2017-11-06 16:10:29,0,456,,1
133522,19,0,21,347,2017-11-06 16:21:56,2017-11-06 16:28:51,0,399,,1
